School Name,Street Address,City,Postal Code,Phone Number,School Website,Principal Name
Holy Jubilee CES,400 St. Joan Of Arc Ave.,Maple,L6A 2S8,905-303-6121,http://hje.ycdsb.ca,Lino Mancinella
Holy Name CES,65 Spring Hill Drive,King City,L7B 0B6,905-833-5852,http://hne.ycdsb.ca,Christian Zorzi
Holy Spirit CES,315 Stone Road,Aurora,L4G 6Y7,905-713-6813,http://hst.ycdsb.ca,Patricia Catenacci
Immaculate Conception CES,500 Aberdeen Ave.,Woodbridge,L4L 5J4,905-851-9528,http://icn.ycdsb.ca,Joeanne Bortolussi
Light of Christ CES,290 Mcclellan Way,Aurora,L4G 6P3,905-727-5400,http://loc.ycdsb.ca,Christopher Zitoli
Notre Dame CES,715 Kingsmere Ave.,Newmarket,L3X 1L4,905-895-5001,http://nde.ycdsb.ca,Todd Wilkinson
Our Lady Help of Christians CES,275 Redstone Rd.,Richmond Hill,L4S 2H1,905-884-4023,http://olhc.ycdsb.ca,Andrea Maggisano
Our Lady of Fatima CES,191 Crofter's Rd.,Woodbridge,L4L 7G3,905-856-1666,http://olf.ycdsb.ca,John-Paul Gigliozzi
Our Lady of Good Counsel CES,801 Murrell Boulevard,East Gwillimbury,L9N 0P6,905-478-4242,http://olgc.ycdsb.ca,Karen Quan-King-Thompson
Our Lady of Grace CES,120 Aurora Heights Dr.,Aurora,L4G 6C4,905-727-5631,http://olg.ycdsb.ca,Fabrizio Grossi
Our Lady of Hope CES,80 Red Cardinal Trail,Richmond Hill,L4E 4B8,905-773-1383,http://olh.ycdsb.ca,Francesco DeBartolo
Our Lady of the Annunciation CES,30 Bayswater Ave.,Richmond Hill,L4E 2L3,905-773-5592,http://ola.ycdsb.ca,Ines Donato-Legace
Our Lady of the Lake CA,185 Glenwoods Ave.,Keswick,L4P 2W6,905-656-9140,http://ollh.ycdsb.ca,Teresa Romeo
Our Lady of the Rosary CES,206 Glen Shields Ave.,Concord,L4K 1T8,905-669-6690,http://olr.ycdsb.ca,R Kendall-Myler
Our Lady Queen of the World CA,10475 Bayview Ave.,Richmond Hill,L4C 3P2,905-770-8656,http://olqwh.ycdsb.ca,John Heinrich
Pope Francis CES,15 Secord Ave,Kleinburg,L4H 3Z3,905-893-8782,http://pfs.ycdsb.ca,Lucia Albanese
Prince of Peace CES,181 Glenwoods Ave.,Keswick,L4P 0M6,905-476-1551,http://pop.ycdsb.ca,Denise Casullo
Sacred Heart CHS,908 Lemar Road,Newmarket,L3Y 1R9,905-895-3340,http://sahe.ycdsb.ca,Donato Anthony-Dilallo
San Lorenzo Ruiz CES,840 Bur Oak Ave.,Markham,L6E 0E1,905-202-2430,http://slr.ycdsb.ca,Giancarlo Schirripa
San Marco CES,250 Coronation Dr.,Woodbridge,L4L 6H3,905-850-2230,http://smo.ycdsb.ca,Rosanne Gravina
Sir Richard W. Scott CES,90 Roxbury Street,Markham,L3S 3S8,905-472-3964,http://srws.ycdsb.ca,Catherine Donovan
St. Agnes of Assisi CES,120 Larocca Ave.,Woodbridge,L4H 2A9,905-303-4646,http://saa.ycdsb.ca,Patrizia Marazzi
St. Andrew CES,151 Forest Fountain Dr.,Woodbridge,L4H 1S4,905-893-1968,http://saw.ycdsb.ca,Anna-Maria Di-Giammarino
St. Angela Merici CES,8881 Martingrove Road,Woodbridge,L4H 1C3,905-856-4996,http://sam.ycdsb.ca,Leah Van-Eyk
St. Anne CES,105 Don Head Village Blvd.,Richmond Hill,L4C 7N1,905-883-0311,http://sae.ycdsb.ca,Catherine Luongo
St. Anthony CES,141 Kirk Dr.,Thornhill,L3T 3L3,905-889-7420,http://say.ycdsb.ca,Salvatore Calabria
St. Augustine CHS,2188 Rodick Road,Markham,L6C 1S3,905-887-6171,http://stau.ycdsb.ca,James Cocchetto
St. Benedict CES,50 Aldergrove Drive,Unionville,L3R 7E6,905-475-9646,http://sbt.ycdsb.ca,Marilou Pileggi
St. Bernadette CES,5279 Black River Rd.,Sutton West,L0E 1R0,905-722-6226,http://sbe.ycdsb.ca,Josie Ruggiero-Khan
St. Brendan CES,751 Hoover Park Drive,Stouffville,L4A 0Z6,905-642-6728,http://sbn.ycdsb.ca,Jonathan Silveri
St. Brigid CES,223 Millard St.,Stouffville,L4A 5A1,905-642-5100,http://sbd.ycdsb.ca,Tania Paniculam
St. Brother André CHS,6160 - 16th Avenue,Markham,L3P 3K8,905-294-7671,http://sba.ycdsb.ca,Christine Cosentino
St. Catherine of Siena CES,80 Terra Rd.,Woodbridge,L4L 3J5,905-851-8162,http://scs.ycdsb.ca,Roberto Litrenta
St. Cecilia CES,300 Peter Rupert Ave,Maple,L6A 4P3,289-304-0725,http://sca.ycdsb.ca,Domenico Loiero
St. Charles Garnier CES,16 Castle Rock Dr.,Richmond Hill,L4C 5H5,905-884-0223,http://scg.ycdsb.ca,Bernard Smith
St. Clare CES,391 Velmar Dr.,Woodbridge,L4L 8J5,905-856-6643,http://sce.ycdsb.ca,Domenica Cristiano
St. Clement CES,40 Bainbridge Ave.,Woodbridge,L4L 3Y1,905-851-5910,http://sct.ycdsb.ca,Franco Di Marco
St. David CES,240 Killian Rd.,Maple,L6A 1A8,905-832-1887,http://sdd.ycdsb.ca,Monica Champagne
St. Edward CES,33 Cairns Dr.,Markham,L3P 7M8,905-471-1445,http://sed.ycdsb.ca,Lisa Pocrnic
St. Elizabeth CHS,525 New Westminster Drive,Thornhill,L4J 7X3,905-882-1460,http://seh.ycdsb.ca,Martina Fasano
St. Elizabeth Seton CES,960 Leslie Valley Dr.,Newmarket,L3Y 8B3,905-853-0340,http://ses.ycdsb.ca,Nancy Malta
St. Emily CES,60 Vellore Woods Blvd.,Woodbridge,L4H 2K8,905-303-4554,http://sey.ycdsb.ca,Livio Porcelli
St. Francis Xavier CES,223 Highglen Ave.,Markham,L3S 1Y4,905-470-2225,http://sfx.ycdsb.ca,Beverly Coles
St. Gabriel the Archangel CES,91 Fiori Drive,Woodbridge,L4L 5S4,905-856-4155,http://sga.ycdsb.ca,Gavin Kelly
St. Giovanni Battista Scalabrini CES,290 York Hill Blvd.,Thornhill,L4J 3B6,905-886-3272,http://sgbs.ycdsb.ca,Lara Rodrigues
St. Gregory the Great CA,140 Greenpark Blvd.,Woodbridge,L4L 6Z6,905-856-0955,http://sgg.ycdsb.ca,Didi Cammalleri
St. James CES,171 Mast Rd.,Maple,L6A 3J7,905-832-7676,http://sjs.ycdsb.ca,Helena Di-Panfilo
St. Jean de Brebeuf CHS,2 Davos Rd.,Woodbridge,L4H 2Y1,905-851-3259,http://sjdbh.ycdsb.ca,Elisabetta Mastromartino
St. Jerome CES,20 Bridgenorth Dr.,Aurora,L4G 7P3,905-727-6593,http://sje.ycdsb.ca,Peter Morrone
St. Joan of Arc CHS,1 St. Joan Of Arc Avenue,Maple,L6A 1W9,905-832-8882,http://stjo.ycdsb.ca,Chad Garel
St. John Bosco CES,199 Belview Ave.,Woodbridge,L4L 5N9,905-850-3280,http://sjb.ycdsb.ca,Patricia Santelli
St. John Chrysostom CES,800 Joe Persechini Dr.,Newmarket,L3X 2S6,905-895-7411,http://sjc.ycdsb.ca,Loretta Barone
St. John Paul II CES,155 Red Maple Rd.,Richmond Hill,L4B 4P9,905-709-3134,http://pjp.ycdsb.ca,Paula Thompson
St. John XXIII CES,125 Krieghoff Ave,Unionville,L3R 1V8,905-477-3288,http://j23.ycdsb.ca,Bernardo Dulcigno
St. Joseph (Aurora) CES,2 Glass Dr.,Aurora,L4G 2E8,905-727-5782,http://sja.ycdsb.ca,Paula Thompson
St. Joseph (Markham) CES,388 White's Hill Ave.,Markham,L6B 0J3,905-294-4045,http://sjm.ycdsb.ca,Nancy Fernandes
St. Joseph (Richmond Hill) CES,301 Roney Ave.,Richmond Hill,L4C 2H4,905-884-5077,http://sjrh.ycdsb.ca,Roberto Mittone
St. Joseph the Worker CES,475 Brownridge Dr.,Thornhill,L4J 5Y6,905-738-5703,http://sjw.ycdsb.ca,Lisa Falconi
St. Julia Billiart CES,2070 Bur Oak Ave.,Markham,L6E 1X5,905-471-8221,http://sjbt.ycdsb.ca,Mike Ricci
St. Justin Martyr CES,140 Hollingham Rd.,Unionville,L3R 8K4,905-474-0284,http://sjn.ycdsb.ca,Tracy Stuart
St. Kateri Tekakwitha CES,230 Fincham Ave.,Markham,L3P 4B5,905-471-4477,http://kta.ycdsb.ca,Marc Caruso
St. Katharine Drexel CES & CHS,55 Meridian Drive,Stouffville,L4A 4X5,289-451-2294,http://SKD.ycdsb.ca,Dan Bruni
St. Luke Catholic Learning Centre,301 Barrhill Road,Maple,L6A 1J5,905-832-4773,http://stluke.ycdsb.ca,Christian Scenna
St. Margaret Mary CES,30 Margaret Mary Road,Woodbridge,L4L 2W8,905-851-3935,http://smm.ycdsb.ca,Julie Snyder
St. Marguerite d’Youville CES,121 Rollinghill Rd.,Richmond Hill,L4E 4L2,905-883-5221,http://smd.ycdsb.ca,Giuseppe Moncada
St. Mark CES,333 Glad Park Ave.,Stouffville,L4A 1E4,905-640-2915,http://smk.ycdsb.ca,David Flynn
St. Mary CES,75 Greenside Dr.,Nobleton,L0G 1N0,905-859-3336,http://smy.ycdsb.ca,Linda D'Andrea-Pignataro
St. Mary Immaculate CES,161 Regent St.,Richmond Hill,L4C 9N9,905-884-5381,http://smi.ycdsb.ca,Francesco Rizzi
St. Mary of the Angels CES,351 Vellore Park Avenue,Woodbridge,L4H 0E4,289-304-0719,http://sms.ycdsb.ca,Sabrina Gallo
St. Matthew CES,75 Waterbridge Lane,Unionville,L3R 4G3,905-475-0517,http://smw.ycdsb.ca,Larry Bianco
St. Maximilian Kolbe CHS,278 Wellington St. East,Aurora,L4G 1J5,905-727-5652,http://smkh.ycdsb.ca,Michelle Miranda
St. Michael CA,41 Simonston Blvd.,Thornhill,L3T 4R6,905-889-4816,http://sml.ycdsb.ca,Antonietta D'Addese
St. Michael the Archangel CES,161 Via Campanile,Woodbridge,L4H 3K5,289-553-3802,http://smal.ycdsb.ca,Francesco Carriero
St. Monica CES,290 Calvert Rd.,Markham,L6C 1V1,905-887-1560,http://sma.ycdsb.ca,Martina Smith
St. Nicholas CES,480 Keith Ave.,Newmarket,L3X 1V5,905-895-3777,http://sns.ycdsb.ca,Marcella Sanders
St. Padre Pio CES,770 Napa Valley Avenue,Woodbridge,L4H 1W9,905-893-7082,http://spp.ycdsb.ca,Anthony Modica
St. Patrick (Markham) CES,5607 Highway 7,Markham,L3P 1B6,905-294-1571,http://spm.ycdsb.ca,Katherine Pellegrini
St. Patrick (Schomberg) CES,51 Western Ave.,Schomberg,L0G 1T0,905-939-7753,http://sps.ycdsb.ca,Clara Contatto-giulianelli
St. Paul CES,140 William Roe Blvd.,Newmarket,L3Y 1B2,905-895-4122,http://spl.ycdsb.ca,Karla Bebie
St. Peter CES,120 Andrew Park,Woodbridge,L4L 1G2,905-851-2871,http://spr.ycdsb.ca,Armando Brusco
St. Raphael the Archangel CES,131 Ravineview Dr,Maple,L6A 3T6,289-304-0715,http://sra.ycdsb.ca,Patricia Susin
St. René Goupil – St. Luke CES,135 Green Lane,Thornhill,L3T 6K7,905-881-2300,http://srg.ycdsb.ca,Alison Goddard
St. Robert CHS,8101 Leslie St.,Thornhill,L3T 7P4,905-889-4982,http://stro.ycdsb.ca,Elaine Dharmai
St. Stephen CES,451 Napa Valley Ave.,Woodbridge,L4H 1Y8,905-893-7557,http://ssn.ycdsb.ca,Casey Cabral
St. Theresa of Lisieux CHS,230 Shaftsbury Ave.,Richmond Hill,L4C 0E8,905-787-1407,http://stlh.ycdsb.ca,Peter Parente
St. Thomas Aquinas CES,262 Old Homestead Rd.,Keswick,L4P 3C8,905-476-7784,http://sta.ycdsb.ca,Francesca Rossy
St. Veronica CES,171 Maria Antonia Rd.,Woodbridge,L4H 2S8,905-653-5920,http://sva.ycdsb.ca,Sulinda Cerqueti
